#node1	node2	combined_score
BECN1	ATG14	999
BCL2L11	BAX	999
SQSTM1	PRKCZ	999
NCOA3	ESR1	999
CITED2	EP300	999
SQSTM1	UBC	999
PSMD14	UBC	999
FOXO1	SIRT1	999
UBC	HIF1A	999
BECN1	BCL2	999
UBE2D2	STUB1	999
UBE2D1	STUB1	999
BCL2	BAX	999
TP53	EP300	999
PIK3C3	ATG14	999
PSMD14	PSMC2	999
HIF1A	VHL	999
UBC	STUB1	999
EP300	ESR1	999
UBC	TRAF6	999
PSMC2	PSMC1	999
UBC	PSMC1	999
RELA	NFKBIA	999
HSP90AA1	ESR1	999
HIF1A	HSP90AA1	999
ARNT	HIF1A	999
EPN1	UBC	999
TP53	SIRT1	999
NCOA3	EP300	999
HIF1A	EP300	999
UBC	CUL1	999
SP1	TP53	999
PSMD14	PSMC1	999
SMAD3	EP300	999
SP1	EP300	999
SMAD3	SP1	999
UBC	RPS27A	999
PRKCZ	PARD6A	999
UBC	HGS	999
UBC	VHL	999
SP1	ESR1	999
BID	BAX	999
UBC	SMAD3	999
RELA	SP1	999
BAK1	BCL2	999
UBC	TP53	999
PIK3R4	PIK3C3	999
SQSTM1	TRAF6	999
ATG16L1	ATG5	999
HGS	TSG101	999
HSP90AA1	STUB1	999
HSP90AA1	TP53	999
ATG7	ATG3	999
BECN1	PIK3C3	999
UBC	TSG101	999
PSMD4	PSMC2	999
PSMD4	PSMC1	999
UBC	NFKBIA	999
ATG12	ATG5	999
RELA	UBC	999
UBC	HSP90AA1	999
BCL2L11	BCL2	999
UBE2D1	UBC	999
BCL2	BAD	999
RHOA	UBC	999
RELA	EP300	999
PSMD14	PSMD4	999
BCL2	BID	999
UBC	PSMC2	999
UBE2D2	UBC	999
PSMD4	UBC	999
ATG12	ATG7	999
ATG12	ATG3	998
BECN1	PIK3R4	998
TP53	STUB1	998
SQSTM1	NBR1	998
RPS27A	TP53	998
PIK3R4	ATG14	998
BCL2	TP53	998
UBC	ESR1	998
ATG13	ULK1	997
UBC	NBR1	996
HIF1A	SP1	996
TRAF6	RPS27A	996
HIF1A	TP53	996
BAK1	BID	996
RPS27A	NFKBIA	995
PSMD4	RPS27A	995
CUL1	NFKBIA	994
UBC	SP1	994
BAX	TP53	993
NCOA3	UBC	992
RELA	PRKCZ	991
UBE2D1	RPS27A	990
UBE2D2	RPS27A	990
UBE2D2	UBE2D1	989
ATG7	ATG10	988
ATG13	RB1CC1	985
EP300	SIRT1	985
ULK1	RB1CC1	984
UBC	EIF5A	983
BAK1	BAX	982
BCL2L11	UBC	982
FOXO1	UBC	982
RELA	ESR1	982
SQSTM1	RPS27A	981
UBE2D1	TP53	981
ATG13	C12orf44	980
HIF1A	SMAD3	980
BAK1	TP53	979
BECN1	UBC	979
UBE2D1	EP300	979
SMAD3	ESR1	979
ATG5	ATG3	975
ATG7	GABARAPL1	974
PRKCZ	UBC	971
SQSTM1	GABARAPL1	971
UBC	TMUB1	970
PSMD4	CUL1	967
RHOA	RPS27A	966
RELA	RPS27A	965
ATG16L1	RB1CC1	964
RHOA	BID	962
UBC	SIRT1	960
ATG13	ULK2	957
ARNT	SP1	957
RELA	UBE2D1	955
RHOA	PRKCZ	955
BCL2L11	BAD	955
CITED2	HIF1A	955
FOXO1	SMAD3	955
ARNT	EP300	955
FOXO1	EP300	954
SMAD3	STUB1	954
UBE2D1	HIF1A	954
UBC	PARD6A	954
PRKCZ	TRAF6	954
BCL2L11	BID	954
UBE2D1	VHL	954
PSMD4	STUB1	954
UBC	BAX	935
PIK3R4	UBC	931
RHOA	PARD6A	929
HGS	RPS27A	927
PSMD14	CUL1	927
CUL1	RPS27A	927
HSP90AA1	RPS27A	926
UBE2D1	PSMD4	924
SMAD3	RPS27A	922
RPS27A	PSMC1	922
PSMC2	RPS27A	922
RPS27A	TSG101	921
EPN1	RPS27A	921
ULK2	RB1CC1	916
FOXO1	ESR1	915
UBC	BCL2	915
PRKCZ	VHL	915
UBE2D2	NFKBIA	914
EP300	VHL	913
STUB1	ESR1	913
PSMD14	RPS27A	912
RPS27A	STUB1	911
ATG5	ATG10	911
EPN1	HGS	911
SMAD3	TP53	911
NBR1	RPS27A	907
PSMD14	UBE2D1	907
UBE2D1	PSMC2	907
UBE2D1	PSMC1	907
CUL1	EP300	906
HIF1A	RPS27A	906
SP1	NFKBIA	905
CUL1	PSMC1	905
CUL1	PSMC2	905
UBE2D1	SMAD3	903
UBE2D2	VHL	902
TRAF6	STUB1	901
UBC	EP300	900
PSMC1	PARD6A	900
RPS27A	VHL	900
PSMD4	PARD6A	900
PRKCZ	RPS27A	900
RPS27A	PARD6A	900
PSMC2	PARD6A	900
PSMD14	PARD6A	900
